"","ioname","orgname","year","russia","china","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa"
"5","AralSea","Int'l Fund for Saving Aral Sea",2005,0,0,1,1,1,1,1,0
"6","AsDB","Asian Dev. Bank",2005,0,1,1,1,1,0,1,1
"8","CAECC","Central Asian Economic Community",2005,0,0,1,1,1,0,1,0
"10","CICA","Conference on Interaction and Confidence-Building Measures in Asia",2005,1,1,1,1,1,0,1,0
"11","CIS","Commonwealth of Independent States",2005,1,0,1,1,1,1,1,0
"15","EBRD","European Bank for Reconstruction & Development",2005,1,0,1,1,1,1,1,1
"16","ECO","Economic Cooperation Organization",2005,0,0,1,1,1,1,1,0
"17","EMPPO","Euro & Med Plant Protect Org",2005,1,0,1,1,0,0,1,0
"18","FAO","Food & Ag Org",2005,0,1,1,1,1,1,0,1
"21","IAEA","Intl Atomic Energy Agency",2005,1,1,1,1,0,0,1,1
"22","ICAC","Intl Cotton Adv Comte",2005,1,0,0,0,0,0,1,1
"23","ICC","International Criminal Court",2005,0,0,0,0,1,0,0,0
"25","ICivDO","Int'l Civil Defence Org.",2005,1,1,1,0,0,0,0,0
"26","IEXB","Intl Exhib Bureau",2005,1,1,1,1,0,0,1,0
"27","IFAD","Int Fund for Agriculture & Development",2005,0,1,1,1,1,0,0,1
"28","IGC","Intl Grains Council",2005,1,0,1,0,0,0,0,1
"30","IIF","Intl Instit of Refrigeration",2005,1,1,0,0,0,0,1,1
"31","IMO","Intl Maritime Org",2005,1,1,1,0,0,1,0,1
"34","INTERPOL","Intl Criminal Police Comm",2005,1,1,1,1,0,0,1,1
"35","IOLM","Intl Org Legal Metrology",2005,1,1,1,0,0,0,0,1
"36","IOMig","Intl Org for Migration",2005,0,0,1,1,1,0,0,1
"38","IOcC","Intergov. Oceanographic Comm.",2005,1,1,1,0,0,0,0,1
"40","ISB","Interstate Bank",2005,1,0,1,1,1,1,1,0
"41","ISDB","Islamic Dev. Bank",2005,0,0,0,1,0,1,0,0
"42","ITVRC","Intgvt TV & Radio Corp",2005,1,0,1,1,1,0,1,0
"44","IUPIP","Intl Union for Protection of Industrial Prop",2005,1,1,1,1,1,1,1,1
"45","IUPLAW","Intl Union for Protection of Lit & Art Works",2005,1,1,1,1,1,0,1,1
"46","IUPNVP","Union for Protection of New Varieties of Plants",2005,1,1,0,1,0,0,1,1
"47","JINR","Joint Instit for Nuke Research",2005,1,0,1,0,0,0,1,0
"48","MIGA","Multilateral Investment Guarantee Agency",2005,1,1,1,1,0,1,1,1
"49","OCR","Org for the Collaboration of Railways",2005,1,1,1,1,1,1,1,0
"50","OIC","Org. Islamic Conference",2005,0,0,1,1,1,1,1,0
"51","OSCE","Org. Security Cooperation Europe",2005,1,0,1,1,1,1,1,1
"52","PCA","Permanent Court of Arbitration",2005,1,1,0,1,0,0,0,1
"53","PIARC","World Road Assn",2005,1,1,0,0,0,0,1,1
"54","RCC","Reg Commonwealth in the Field of Comm",2005,1,0,1,1,1,1,1,0
"56","Turksoy","Joint Admin. of Turkish Culture & Arts",2005,0,0,1,1,0,1,1,0
"58","UNESCO","UN Education, Scientific, & Cultural Org",2005,1,1,1,1,1,1,1,0
"59","UNIDO","UN Industrial Development Org",2005,1,1,1,1,1,1,1,0
"62","WTOURO","World Tourism Org.",2005,1,1,1,1,0,1,1,0
