"","ioname","orgname","year","russia","china","afghanistan","georgia","iran","india","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa","pakistan"
"34","AAB","Alliance Against Biopiracy",2005,0,1,0,0,0,1,0,0,0,0,0,0,0
"116","AALCO","Asian-African Legal Consultative Org",2005,0,1,0,0,1,1,0,0,0,0,0,0,1
"158","AARO","Afro-Asian Rural Development Org",2005,0,0,0,0,0,1,0,0,0,0,0,0,1
"493","ACU","Asian Clearing Union",2005,0,0,0,0,1,1,0,0,0,0,0,0,1
"498","ACWL","Advisory Centre on WTO Law",2005,0,0,0,0,0,1,0,0,0,0,0,0,1
"549","AFEXIMB","Afr. Exp/Import Bank",2005,0,1,0,0,0,1,0,0,0,0,0,1,0
"1197","AOPU","Asian-Oceanic Postal Union",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1261","APCC","Asian/Pacific Coconut Comm.",2005,0,0,0,0,0,1,0,0,0,0,0,0,0
"1278","APEC","Asia-Pacific Economic Cooperation",2005,1,1,0,0,0,0,0,0,0,0,0,1,0
"1323","APFIC","Asia Pacific Fisheries Comm",2005,0,1,0,0,0,1,0,0,0,0,0,1,1
"1342","APIBD","Asia-Pac Instit. for Broadcast Develop.",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1384","APO","Asian Productivity Organization",2005,0,1,0,0,1,1,0,0,0,0,0,0,1
"1426","APT","Asian-Pacific Telecommunity",2005,0,1,1,0,1,1,0,0,0,0,0,0,1
"1460","ARC","Asian Reinsurance Corp.",2005,0,1,1,0,1,1,0,0,0,0,0,0,0
"1511","ARIPO","Afr. Regional Industrial Property Org.",2005,0,0,0,0,0,0,0,0,0,0,0,0,0
"1670","ASCRubber","Association of Rubber Producing States",2005,0,0,0,0,0,1,0,0,0,0,0,0,0
"1900","AfDB","African Development Bank",2005,0,1,0,0,0,1,0,0,0,0,0,1,0
"2024","AralSea","Int'l Fund for Saving Aral Sea",2005,0,0,0,0,0,0,1,1,1,1,1,0,0
"2034","ArticC","Artic Council",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"2074","AsDB","Asian Dev. Bank",2005,0,1,1,0,0,1,1,1,1,0,1,1,1
"2157","BEF","Baltic Environ. Forum",2005,0,0,0,0,0,0,0,0,0,0,0,0,0
"2328","BIPM","International Bureau of Weights & Measures",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"2376","BIS","Bank for International Settlements",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"2436","BSEC","Black Sea Economic Council",2005,1,0,0,1,0,0,0,0,0,0,0,0,0
"2535","CABI","CAB International",2005,0,1,0,0,0,1,0,0,0,0,0,0,1
"2584","CAECC","Central Asian Economic Community",2005,0,0,0,0,0,0,1,1,1,0,1,0,0
"3238","CFC","Common Fund for Commodities",2005,1,1,1,0,0,1,0,0,0,0,0,0,1
"3247","CICA","Conference on Interaction and Confidence-Building Measures in Asia",2005,1,1,1,0,1,1,1,1,1,0,1,0,1
"3278","CIS","Commonwealth of Independent States",2005,1,0,0,1,0,0,1,1,1,1,1,0,0
"3403","COE","Council of Europe",2005,1,0,0,1,0,0,0,0,0,0,0,0,0
"3447","COLOMBO","Council for Tech Coop in S & SE Asia",2005,0,0,1,0,1,1,0,0,0,0,0,1,1
"3567","CSLF","Carbon Sequestration Leadership Forum",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"3619","CTO","Commonwealth Telecom Board",2005,0,0,0,1,0,1,0,0,0,0,0,0,1
"3974","EAPO","Eurasian Patent Org.",2005,1,0,0,0,0,0,1,1,1,1,0,0,0
"3990","EBRD","European Bank for Reconstruction & Development",2005,1,0,0,1,0,0,1,1,1,1,1,1,0
"4125","ECO","Economic Cooperation Organization",2005,0,0,1,0,1,0,1,1,1,1,1,0,1
"4527","EMPPO","Euro & Med Plant Protect Org",2005,1,0,0,0,0,0,1,1,0,0,1,0,0
"4954","FAO","Food & Ag Org",2005,0,1,1,1,1,1,1,1,1,1,0,1,1
"4992","G15","Group of 15",2005,0,0,0,0,1,1,0,0,0,0,0,0,0
"5026","G24","Group of 24",2005,0,0,0,0,1,1,0,0,0,0,0,0,1
"5136","GEF","Global Environ. Fund",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"5271","HCPIL","Hague Conf on Private Intl Law",2005,1,1,0,0,0,0,0,0,0,0,0,1,0
"5561","IAEA","Intl Atomic Energy Agency",2005,1,1,1,1,1,1,1,1,0,0,1,1,1
"5992","IBRD","World Bank",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"6039","ICAC","Intl Cotton Adv Comte",2005,1,0,0,0,1,1,0,0,0,0,1,1,1
"6138","ICAO","Intl Civil Aviation Org",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"6144","ICC","International Criminal Court",2005,0,0,1,1,0,0,0,0,1,0,0,0,0
"6394","ICES","Intl Council for Exploration of Sea",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"6485","ICMMP","Intl Comte of Military Medicine & Pharmacy",2005,1,1,1,0,0,1,0,0,0,0,0,1,1
"6705","ICSG","Int'l Copper Study Grp.",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"6715","ICWMD","International Commission on Weapons of Mass Destruction",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"6757","ICfO","Intl Coffee Org",2005,0,0,0,0,0,1,0,0,0,0,0,1,0
"6797","ICivDO","Int'l Civil Defence Org.",2005,1,1,0,1,0,0,1,0,0,0,0,0,1
"6903","IEXB","Intl Exhib Bureau",2005,1,1,0,0,1,0,1,1,0,0,1,0,0
"6935","IFAD","Int Fund for Agriculture & Development",2005,0,1,1,1,1,1,1,1,1,0,0,1,1
"6978","IFC","Int'l Finance Corporation",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"7047","IGC","Intl Grains Council",2005,1,0,0,0,1,1,1,0,0,0,0,1,1
"7108","IHO","Intl Hydrographic Org",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"7176","IIF","Intl Instit of Refrigeration",2005,1,1,0,0,0,1,0,0,0,0,1,1,1
"7247","ILO","Intl Labour Org",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"7276","ILZSG","Intl Lead & Zinc Study Group",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"7351","IMF","Intl Monetary Fund",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"7399","IMO","Intl Maritime Org",2005,1,1,0,1,1,1,1,0,0,1,0,1,1
