"","ioname","orgname","year","russia","china","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa"
"2069","AsDB","Asian Dev. Bank",2000,0,1,1,1,1,0,1,1
"4949","FAO","Food & Ag Org",2000,0,1,1,1,1,1,0,1
"5556","IAEA","Intl Atomic Energy Agency",2000,1,1,1,0,0,0,1,1
"6034","ICAC","Intl Cotton Adv Comte",2000,1,0,0,0,0,0,1,1
"7042","IGC","Intl Grains Council",2000,1,0,1,0,0,0,0,1
"8246","ISDB","Islamic Dev. Bank",2000,0,0,0,1,0,1,0,0
"8454","ITVRC","Intgvt TV & Radio Corp",2000,1,0,1,1,1,0,1,0
"9596","NAM","Non-Aligned Movement",2000,0,0,0,0,0,1,1,0
"10581","OSCE","Org. Security Cooperation Europe",2000,1,0,1,1,1,1,1,1
"10860","PCA","Permanent Court of Arbitration",2000,1,1,0,1,0,0,0,1
"10984","PIARC","World Road Assn",2000,1,1,0,0,0,0,1,1
"11274","RCC","Reg Commonwealth in the Field of Comm",2000,1,0,1,1,1,1,1,0
"11828","SWAPU","South & West African Postal Union",2000,0,0,0,0,0,1,0,0
"11927","Turksoy","Joint Admin. of Turkish Culture & Arts",2000,0,0,1,1,0,1,1,0
"12239","UNESCO","UN Education, Scientific, & Cultural Org",2000,1,1,1,1,1,1,1,0
"12279","UNIDO","UN Industrial Development Org",2000,1,1,1,1,1,1,1,0
"12841","WTOURO","World Tourism Org.",2000,1,1,1,1,0,1,1,0
